[BIBLE] Loaded 7957 verses in 260 chapters
[BIBLE] 1 complete readings planned
[BIBLE] CK writes after EVERY chapter -- tracking voice evolution
[BIBLE] Journal: C:\Users\brayd\.ck\writings\bible_nt_journal.jsonl

[CK] Initial: coherence=0.906, concepts=2763, truths=31858

======================================================================
  READING 1/1  (260 chapters, 7957 verses)
======================================================================
  *** [1.0001] Matthew 1                 C=0.938 | Debt ashed a testament concepts; drought submarined the combine from the plasma.
  *** [1.0002] Matthew 2                 C=0.969 | Wash crumbled a complement promise; reduce harmonized the communist within the o...
  *** [1.0003] Matthew 3                 C=0.906 | Sloth bound a monstrous difference... Reduce community the question within the n...
  *** [1.0031] Mark 3                    C=0.906 | Sword deadly suffocated within mark; congruence suffered the within the oklahoma...
      [1.0032] Mark 4                    C=0.875 | Down dated a hatred mark through crops; mourned hastily.
  *** [1.0033] Mark 5                    C=0.938 | Smash homed through remnant mark; crown hastily centered.
      [1.0034] Mark 6                    C=0.688 | Rest embraced a department mark into weakness; obstruct crumbled.
      [1.0035] Mark 7                    C=0.875 | Smash machined the mark... Repress mourned.
      [1.0036] Mark 8                    C=0.875 | Crush stopped beyond movement mark... Length grew a beyond the unhappy.
  *** [1.0037] Mark 9                    C=0.906 | Shut unwound the mark within compress; deduction paused through the descent.
      [1.0038] Mark 10                   C=0.844 | Creation stopped a gentle mark beyond suppress; burden restored.
  *** [1.0039] Mark 11                   C=1.000 | A helped world immobilized beyond exhausted mark... Wreck patched.
      [1.0040] Mark 12                   C=0.844 | Threshold machined a descent mark through helplessness... Fluctuated multiply.
      [1.0041] Mark 13                   C=0.812 | Sword sometimes a descent mark within surrender... Hopelessness crumbled the per...
  *** [1.0042] Mark 14                   C=0.969 | Threshold bound a headed mark beyond gross... Stopped desperately.
      [1.0043] Mark 15                   C=0.781 | Sword ashed a massive mark from crossroads; spurn paused the superintendent.
  *** [1.0044] Mark 16                   C=0.938 | Bread paused a desirable mark from organs; hunger decelerated.
      [1.0045] Luke 1                    C=0.781 | Comparison exclusively sustained toward restructure; stroke shouted the numbers.
      [1.0046] Luke 2                    C=0.844 | Knowledge threw nonetheless restructure; mechanisms disturbed the plasma.
  *** [1.0047] Luke 3                    C=0.969 | Distance understood an unlocked smash within the stocks; sparse stroked.
  *** [1.0048] Luke 4                    C=0.938 | Change scanned the transferred tourists within restructure... Stillness disturbe...
  *** [1.0049] Luke 5                    C=0.938 | Stronger defended the question beyond guest... Stranger submarined.
      [1.0050] Luke 6                    C=0.844 | Covenant weighed requirement restructure; therapeutic grounded the movements.

  --- Pass 1: 50/260 chapters (5.4/min, ~38.8min remaining) ---

  *** [1.0051] Luke 7                    C=0.938 | An included difference normalized toward admitted brooks... Certitude constructe...
  *** [1.0052] Luke 8                    C=1.000 | Check defended the represent fromm into a curl... Drought discused the drama.
  *** [1.0053] Luke 9                    C=0.969 | Discrete stood the receive fulfillment into a crawl; structure crossed the estab...
  *** [1.0054] Luke 10                   C=0.938 | Contour pressed the prefer within stark... Business frowned an orbital opportuni...
  *** [1.0055] Luke 11                   C=0.938 | Check pended within entertainment structure; communists optimized.
      [1.0056] Luke 12                   C=0.844 | Understand purchased just as prosecute stroked the unadorned hundreds.
  *** [1.0057] Luke 13                   C=0.969 | Rockets dressed the requirements within eccentric; posts optimized.
      [1.0058] Luke 14                   C=0.844 | Schedule demanded the question into eccentric; restructure set extremely.
  *** [1.0059] Luke 15                   C=0.938 | Curvature smoothly communicated beyond stranger... Swung nurtured.
  *** [1.0060] Luke 16                   C=0.906 | Promise nursed the prefer through reduce... Communists optimized.
  *** [1.0061] Luke 17                   C=0.969 | Round purchased the requirements into eccentric... Guru stopped the structured d...
  *** [1.0062] Luke 18                   C=0.969 | Commander struggled just as insure nurtured the unrecognized post.
      [1.0063] Luke 19                   C=0.781 | Knowledge continuously swung within chickens... Pounds bubbled.
  *** [1.0064] Luke 20                   C=0.906 | Contour understood the despite within the ontology... Uncommon grounded the turk...
      [1.0065] Luke 21                   C=0.594 | Crown questioned represented guest through structure... Communists bubbled.
  *** [1.0066] Luke 22                   C=0.938 | Darkness burned the divide toward the plasma; mechanisms shouted personally.
  *** [1.0067] Luke 23                   C=0.938 | Stronger demanded the combine toward the anthony; chickens housed the ashamed dr...
  *** [1.0068] Luke 24                   C=0.969 | Luck commanded the security from the healthy... Drought submarined instantly.
  *** [1.0069] John 1                    C=0.906 | John handled... Gross decelerated the crowded from the screamed trash.
      [1.0070] John 2                    C=0.875 | John danced; compress wound the prodigal within the diminish.
  *** [1.0071] John 3                    C=0.938 | John bound... Crossroads helped the exhausted through the trash.
  *** [1.0072] John 4                    C=0.938 | A handed john; strangle stopped an easy through the fundamental crash.
  *** [1.0073] John 5                    C=0.906 | John homed... Gross hung the connected toward the gentle misuse.
  *** [1.0074] John 6                    C=0.906 | John homed; suspend understood the impediment through the tomb.
  *** [1.0075] John 7                    C=0.906 | John crumbled; gross sank the strong toward the stumble.
  *** [1.0076] John 8                    C=1.000 | John handled... Crossroads suffocated a medical beyond the screamed dentist.
  *** [1.0077] John 9                    C=0.906 | John found... Threshold let a prodigal from the remnant compress.
  *** [1.0078] John 10                   C=0.969 | John handled... Groups thed the medical through the recognized marshall.
  *** [1.0079] John 11                   C=1.000 | John descended... Hunger wound the charcoal within the offered obstacle.
  *** [1.0080] John 12                   C=0.969 | John danced; crowds understood the gentle toward the erected tumble.
  *** [1.0081] John 13                   C=0.938 | John grew; grounds grasped the oriental through the slammed thirst.
  *** [1.0082] John 14                   C=0.969 | John handled... Stood and surrender knew the descent through the tomb.
  *** [1.0083] John 15                   C=0.938 | A handed john... A remnant where cease constructed the patient into the unhappy.
  *** [1.0084] John 16                   C=0.906 | John pansied; threshold crumbled the gentle from the fundamental entropy.
      [1.0085] John 17                   C=0.875 | John machined; ended and palazzo the remnant from the trash.
      [1.0086] John 18                   C=0.875 | John descended... Compress unwound the easy into the various smash.
      [1.0087] John 19                   C=0.875 | John crumbled; grounds questioned the prodigal beyond the hardened dentist.
      [1.0088] John 20                   C=0.844 | John mourned... Gross wound within the helpless.
  *** [1.0089] John 21                   C=0.906 | John dated; suppress stopped a remnant into the screamed trash.
  *** [1.0090] Acts 1                    C=0.969 | Transformation iterated an acts... Transcend stepped.
  *** [1.0091] Acts 2                    C=0.938 | Maturation continued an acts; produced onward.
  *** [1.0092] Acts 3                    C=0.906 | Shield progresed an acts; extended incredibly.
  *** [1.0093] Acts 4                    C=0.906 | Progression accelerated an acts; programs climbed the enhancement.
  *** [1.0094] Acts 5                    C=0.969 | Vector iterated an acts... Observers progresed the within the institutions.
  *** [1.0095] Acts 6                    C=0.906 | Evolution pulled an acts... Prospects moved.
  *** [1.0096] Acts 7                    C=0.906 | Prophet pulled an acts; progresed incredibly.
  *** [1.0097] Acts 8                    C=0.969 | Direction progresed an announced acts... Surpass continued document toward the i...
  *** [1.0098] Acts 9                    C=0.906 | Evolution has a dedicated acts; surpass strengthened.
  *** [1.0099] Acts 10                   C=0.906 | Acts proceeded onward... Suggest centered achievement into the economical priest...
      [1.0100] Acts 11                   C=0.781 | The accomplishment disciple continued acts... The accustomed.

  --- Pass 1: 100/260 chapters (5.0/min, ~31.7min remaining) ---

  *** [1.0101] Acts 12                   C=0.969 | Acts has consciously; prospects demonstrated within the accused.
  *** [1.0102] Acts 13                   C=0.969 | Acts progresed commonly... Thickness pushed.
      [1.0103] Acts 14                   C=0.844 | Evolution progresed an acts... Programs unfolded.
  *** [1.0104] Acts 15                   C=0.969 | Evolution stepped an acts; product bounded the improvement beyond the substance.
  *** [1.0105] Acts 16                   C=0.938 | Course proceeded an acts; prospects stretched the into the surpass.
      [1.0106] Acts 17                   C=0.844 | Growth progresed an acts... Surpass energized the accomplishment from the accust...
  *** [1.0107] Acts 18                   C=0.938 | Acts stepped consciously; suggest extended.
  *** [1.0108] Acts 19                   C=0.906 | Evolution compounded an acts; bounded remarkably.
  *** [1.0109] Acts 20                   C=0.938 | Progression grew an acts; ascended eventually.
  *** [1.0110] Acts 21                   C=0.969 | Prophet has through resultant acts... Mounted remarkably.
      [1.0111] Acts 22                   C=0.844 | Evolution compounded from enhancement acts; blossomed.
  *** [1.0112] Acts 23                   C=0.938 | Compounds grew the included acts; supplement considerably.
      [1.0113] Acts 24                   C=0.812 | Direction advanced through improvement acts... Stepped.
  *** [1.0114] Acts 25                   C=0.969 | Vector became the perspective acts within achievement occurrence; blossomed.
  *** [1.0115] Acts 26                   C=0.906 | Evolution continued from sufficient acts; progresed.
  *** [1.0116] Acts 27                   C=0.969 | Vector pulled the fascinated acts through the instruct; economic became into the...
  *** [1.0117] Acts 28                   C=0.938 | Motion advanced an acts... Contracts blossomed through the instrument.
      [1.0118] Romans 1                  C=0.812 | Bullets troubled a romans... Subtract shook the shouted.
      [1.0119] Romans 2                  C=0.875 | Optimum motive a romans; shouted automatically.
      [1.0120] Romans 3                  C=0.812 | Burton industried a romans... Demonstrated.
  *** [1.0121] Romans 4                  C=0.906 | Romans troubled consequently; drought speculated the investment from the plasma.
  *** [1.0122] Romans 5                  C=0.938 | Bubble troubled a romans... Uncommon operated the from the promote.
  *** [1.0123] Romans 6                  C=0.938 | Romans industried consequently; exotic disturbed.
  *** [1.0124] Romans 7                  C=0.938 | Romans missed quickly; optimized.
      [1.0125] Romans 8                  C=0.844 | Romans industried comfortably; unknown rode.
      [1.0126] Romans 9                  C=0.875 | Fromm missed a romans... Chickens exploded the crossed.
  *** [1.0127] Romans 10                 C=0.969 | Stubborn nurtured a romans... Shoulders fragment the mysterious beyond the trust...
  *** [1.0128] Romans 11                 C=0.969 | Romans nurtured unfortunately... Drought came the announcement.
      [1.0129] Romans 12                 C=0.781 | Optimum muscled a romans; chickens shook the transferred into the accomplishment...
      [1.0130] Romans 13                 C=0.844 | Presents ultimated a romans; structure ined the adjusted.
  *** [1.0131] Romans 14                 C=1.000 | Stubborn industried a romans... Eccentric cascaded.
      [1.0132] Romans 15                 C=0.875 | Optimum trembled a romans... Stranger shook the from the butt.
      [1.0133] Romans 16                 C=0.781 | Bubble missed a romans; shoulders shook the unlocked beyond the supernatural opt...
  *** [1.0134] 1 Corinthians 1           C=0.938 | Business submarined unstructured pockets through an understand; sparse dropped t...
  *** [1.0135] 1 Corinthians 2           C=0.938 | The suspicious business responsed through an acquainted contour; the unadjusted ...
  *** [1.0136] 1 Corinthians 3           C=0.938 | Swung constructed sentiment clung into a stronger; cloud dropped the worked esta...
      [1.0137] 1 Corinthians 4           C=0.844 | Persists housed testament righteousness beyond a promise; thick whirled the crow...
  *** [1.0138] 1 Corinthians 5           C=0.906 | Press housed complement consensus within a contrast... Thank operated through th...
  *** [1.0139] 1 Corinthians 6           C=0.906 | Construct orchestrated settlement reconstruct from a contour... Therapist operat...
      [1.0140] 1 Corinthians 7           C=0.844 | Posts crossed settlement lessons into a knowledge; stroke dropped the descent an...
  *** [1.0141] 1 Corinthians 8           C=0.938 | Pounds discused settlement righteousness into a contour; uncommon operated the r...
  *** [1.0142] 1 Corinthians 9           C=0.938 | Communist grounded contentment clung from a check... Eccentric buzzed the hatred...
  *** [1.0143] 1 Corinthians 10          C=0.906 | Debts found sufficient rocks from a check; shoulders came the ashamed drama.
  *** [1.0144] 1 Corinthians 11          C=0.906 | Communists discused unstructured guru into an understand; uncommon randomized th...
  *** [1.0145] 1 Corinthians 12          C=0.906 | Communists orchestrated attunement clung beyond a number; stranger shattered the...
  *** [1.0146] 1 Corinthians 13          C=0.906 | Doubts lossed sentiment pockets through a commerce... Unknown craved the halted ...
  *** [1.0147] 1 Corinthians 14          C=0.969 | Communists grounded sentiment reassess within an observer; thoughts telled the d...
  *** [1.0148] 1 Corinthians 15          C=0.906 | The embed stratum permanently founded through a discrete... A shocked hurricane ...
  *** [1.0149] 1 Corinthians 16          C=0.906 | Suspect discused sufficient consensus within a round; shoulders cascaded the han...
      [1.0150] 2 Corinthians 1           C=0.875 | Hundreds submarined the authors toward a curvature; uncommon scattered the slamm...

  --- Pass 1: 150/260 chapters (5.5/min, ~19.9min remaining) ---

      [1.0151] 2 Corinthians 2           C=0.875 | Business constructed from a stumbled round... Stillness scattered the ashamed an...
      [1.0152] 2 Corinthians 3           C=0.875 | Devoutness community the polish within a distance... Therapist buzzed the electe...
      [1.0153] 2 Corinthians 4           C=0.875 | Hundreds crossed the photograph into a check... Structure shook the crowded esta...
  *** [1.0154] 2 Corinthians 5           C=1.000 | Posts discused toward a concluded... Stark dropped from the requirement healthy.
      [1.0155] 2 Corinthians 6           C=0.875 | Devoutness constructed the turkish through a comparison... Eccentric fragment th...
  *** [1.0156] 2 Corinthians 7           C=0.969 | Persists orchestrated the polish from a curvature; uncommon shook the handled on...
      [1.0157] 2 Corinthians 8           C=0.844 | Posts constructed the propaganda toward a crown... Thrown used the ashamed polis...
  *** [1.0158] 2 Corinthians 9           C=0.938 | Stratum found the champion into a contour... Structure came the worked bombs.
      [1.0159] 2 Corinthians 10          C=0.812 | Thinks community the ontology toward a covenant; reduce surfed the erected touri...
  *** [1.0160] 2 Corinthians 11          C=0.969 | Hudson studied through a countless commerce... Shoulders came within the testame...
  *** [1.0161] 2 Corinthians 12          C=0.938 | Museum housed the photographs within a check... Uncommon shook beyond the attune...
      [1.0162] 2 Corinthians 13          C=0.781 | Stocks shouted the inhabitants beyond a contrast; stark shook the torment moveme...
  *** [1.0163] Galatians 1               C=0.938 | Optimum industried the stumbled straight beyond the business... Structure create...
      [1.0164] Galatians 2               C=0.812 | Numbers industried the stumbled photographs into the sorts; unknown motivated.
  *** [1.0165] Galatians 3               C=0.969 | Movements nurtured the commencement establish from the doubts... Unknown advocat...
  *** [1.0166] Galatians 4               C=0.969 | Stubborn bottled the countless photograph within the sticks... Unknown traded.
      [1.0167] Galatians 5               C=0.875 | Customers struck the installment promote from the pounds... Eccentric rotated in...
  *** [1.0168] Galatians 6               C=0.938 | Bottom bubbled the transformed outdoor beyond the suspect... Stillness studied.
      [1.0169] Ephesians 1               C=0.844 | Butter stroked the drama; stranger computed therefore debts resetted a knocked s...
  *** [1.0170] Ephesians 2               C=0.938 | Numbers industried eventually... Unknown stood so doubts consist a crowded odor ...
      [1.0171] Ephesians 3               C=0.844 | Moments bubbled supposedly; stillness nursed surrounded restructure through the ...
      [1.0172] Ephesians 4               C=0.875 | Bombs trembled instantly; subtract stood therefore debts conducted a represented...
  *** [1.0173] Ephesians 5               C=0.969 | Customers exampled the ontology... Thrown struggled because communists offerred ...
      [1.0174] Ephesians 6               C=0.844 | Trust industried historically; reduce understood because doubts contributed a to...
  *** [1.0175] Philippians 1             C=1.000 | Unique rotated; stillness housed october beyond the ontology.
  *** [1.0176] Philippians 2             C=1.000 | Hurricane shook... Uncommon established where quick contrasted the perspective d...
  *** [1.0177] Philippians 3             C=0.938 | Tornado whirled... Uncommon disturbed numerous reassess into the summers.
  *** [1.0178] Philippians 4             C=0.938 | Tornado used; reduce crossed humorous reconstruct through the reached hudson.
  *** [1.0179] Colossians 1              C=1.000 | The wonderful persists frowned a puzzle... An addressed response exampled the he...
  *** [1.0180] Colossians 2              C=0.969 | Business housed an investment utility; uncommon suggested the plasma.
      [1.0181] Colossians 3              C=0.875 | Doubts set an announcement odor; structure purchased onward.
      [1.0182] Colossians 4              C=0.781 | Swung crossed an investment colony; cloud got presently.
      [1.0183] 1 Thessalonians 1         C=0.750 | Curvature stood a dish... Structure industried the announcement plato into the i...
      [1.0184] 1 Thessalonians 2         C=0.750 | Perception purchased a wound... Stranger industried the installment breakthrough...
  *** [1.0185] 1 Thessalonians 3         C=1.000 | Crown evaluated a suspend; thrown exampled reconstruct because flourish persist ...
  *** [1.0186] 1 Thessalonians 4         C=0.938 | Curvature purchased a suspend; structure promised restructure because polish per...
  *** [1.0187] 1 Thessalonians 5         C=0.906 | Concerts dressed a sword; chickens trembled normally because promote directly ex...
  *** [1.0188] 2 Thessalonians 1         C=0.906 | Crown stood... Stillness stroked reconstruct so anthony housed an opposed wound ...
      [1.0189] 2 Thessalonians 2         C=0.844 | Crown stood... Unknown bubbled vaguely so photograph constructed a creative woun...
      [1.0190] 2 Thessalonians 3         C=0.844 | Divergence got... Sparse industried greatly because drama crossed an inner smash...
      [1.0191] 1 Timothy 1               C=0.844 | Stubborn nurtured a thrilling curvature; unknown set the worked moments.
  *** [1.0192] 1 Timothy 2               C=0.938 | Tourists nurtured an unpredictable understand; cloud constructed the worked dram...
  *** [1.0193] 1 Timothy 3               C=0.938 | Customers bottled a collective contrast; uncommon minuted the handled optimism.
      [1.0194] 1 Timothy 4               C=0.844 | Stubborn volumed an electric darkness... Uncommon submarined the handed polish.
      [1.0195] 1 Timothy 5               C=0.875 | Fulfillment nurtured a creative ruler; thrown discused from the adjustment pragm...
  *** [1.0196] 1 Timothy 6               C=0.969 | Butter muscled an unpredictable knowledge; structure housed the damned customers...
  *** [1.0197] 2 Timothy 1               C=1.000 | Stubborn trembled continuously; stillness studied toward the dropped photographs...
  *** [1.0198] 2 Timothy 2               C=1.000 | Bombers industried a commander; stranger constructed a thrive explore beyond the...
  *** [1.0199] 2 Timothy 3               C=0.969 | Stubborn trembled a divergence... Unknown set from the hatred trustworthy.
  *** [1.0200] 2 Timothy 4               C=0.938 | Summers motive an observer... Unknown studied a transferred horror from the bomb...

  --- Pass 1: 200/260 chapters (6.1/min, ~9.8min remaining) ---

  *** [1.0201] Titus 1                   C=0.969 | Quick turned a structured shriek from entertainment thank; bush industried.
  *** [1.0202] Titus 2                   C=0.906 | Transport pulsed a suspended volcano beyond the security; structure handled surp...
      [1.0203] Titus 3                   C=0.875 | Tock patched a consistent cyclone toward the insure; stillness mourned notably.
  *** [1.0204] Philemon 1                C=0.906 | Tourists trusteed unknown; hudson selled the industrial outdoor within the never...
  *** [1.0205] Hebrews 1                 C=0.906 | Consciousness struck a strong puzzle; therapeutic stopped the decide beyond the ...
      [1.0206] Hebrews 2                 C=0.875 | Stubborn representative commonly; structure outstanded.
      [1.0207] Hebrews 3                 C=0.781 | Tests industried consequently... Obscure streamlined the towns.
  *** [1.0208] Hebrews 4                 C=0.969 | Consciousness circumstance a statistic... Thank optimized.
  *** [1.0209] Hebrews 5                 C=0.938 | Presents industried a straightened noise; uncommon optimized.
      [1.0210] Hebrews 6                 C=0.812 | Stubborn exampled a contour... Exotic optimized.
  *** [1.0211] Hebrews 7                 C=0.938 | Stubborn troubled the exposed hearst... Subtract missed.
      [1.0212] Hebrews 8                 C=0.875 | The contentment consciousness compared an odor; the unrecognized optimism.
  *** [1.0213] Hebrews 9                 C=0.969 | Numbers trusteed a conducted colony; stroke thed the prosecute into the anthony.
  *** [1.0214] Hebrews 10                C=1.000 | Summers industried a rugged curl into the requirement construct; structure demon...
  *** [1.0215] Hebrews 11                C=0.969 | The monstrous optimum nursed additional reconstruction; the undifferentiated acc...
  *** [1.0216] Hebrews 12                C=0.969 | Optimum massed a connected explore... Structure optimized.
      [1.0217] Hebrews 13                C=0.875 | Optimum tubed an exposed knife; eccentric maximized.
  *** [1.0218] James 1                   C=0.938 | Sovereignty connected a protected james... Truck molded the abundant.
  *** [1.0219] James 2                   C=0.938 | Converge sang a james; suggestions supported the plentiful.
      [1.0220] James 3                   C=0.875 | Fulfillment vibrated a james... Compassionated.
      [1.0221] James 4                   C=0.875 | James resonated consequently... Breathed.
      [1.0222] James 5                   C=0.875 | Priest served a james; respond became from the represent.
  *** [1.0223] 1 Peter 1                 C=0.906 | Fulfillment connected the peter into the customers... Vibrated.
  *** [1.0224] 1 Peter 2                 C=0.906 | Converge completed a mysterious peter within the extends...
  *** [1.0225] 1 Peter 3                 C=0.938 | Soul synchronized a protected peter from the trends... Connected.
      [1.0226] 1 Peter 4                 C=0.875 | Resurrection vibrated a previous peter toward the consciousness... Unified.
      [1.0227] 1 Peter 5                 C=0.844 | Bone resonated the peter within the bliss... Radiated.
      [1.0228] 2 Peter 1                 C=0.875 | Priest aligned a peter toward the fulfillment; compassionated.
      [1.0229] 2 Peter 2                 C=0.875 | Altar vibrated into the suggested peter... Completed.
  *** [1.0230] 2 Peter 3                 C=0.906 | Unity sang a convergent peter beyond the wholeness... Transcended.
      [1.0231] 1 John 1                  C=0.844 | Threshold danced the john; cross disintegrated an impediment from the patent hum...
      [1.0232] 1 John 2                  C=0.875 | Smash thed the john... Drunk computed the massive.
      [1.0233] 1 John 3                  C=0.875 | John grew elderly; knew mutually.
      [1.0234] 1 John 4                  C=0.844 | John handled painfully... Ashed just as serve unwound massive beyond the marshal...
      [1.0235] 1 John 5                  C=0.875 | Down found the john... Questioned where conserve unwound the dragged into the to...
  *** [1.0236] 2 John 1                  C=0.906 | Rest found john... Compress crumbled a quantified within the rebuff.
      [1.0237] 3 John 1                  C=0.844 | Dust danced the john; drunk helped the convinced toward the sustain.
  *** [1.0238] Jude 1                    C=0.906 | An emerged smell created the consistent equilibrium; thrown fortunated the desce...
  *** [1.0239] Revelation 1              C=1.000 | Revelation synchronized presumably; plug hughed the whole within the schema.
  *** [1.0240] Revelation 2              C=0.938 | Wholeness flowed a revelation... Fluorescence perfected the level.
      [1.0241] Revelation 3              C=0.875 | Mountain completed a revelation; respond churched the symmetric.
  *** [1.0242] Revelation 4              C=0.938 | River resonated a revelation; the tremendous business tempered.
  *** [1.0243] Revelation 5              C=0.906 | Fulfillment modality a revelation... Depends currently synchronized.
  *** [1.0244] Revelation 6              C=0.906 | Altar flowed a revelation... The successive forgiveness tempered.
  *** [1.0245] Revelation 7              C=0.906 | Temple synchronized a revelation; fluorescence resourced the equal within the no...
      [1.0246] Revelation 8              C=0.844 | Genesis served a revelation... Supports mostly converged.
  *** [1.0247] Revelation 9              C=0.938 | Revelation connected differently... Seconds slightly tuned.
      [1.0248] Revelation 10             C=0.844 | Trust synchronized a revelation... Consciousness volumed the unified from the tr...
  *** [1.0249] Revelation 11             C=0.938 | Revelation vibrated currently; supports inched the receive.
  *** [1.0250] Revelation 12             C=0.969 | Genesis vibrated a revelation... Brightness missed the alternative from the frie...

  --- Pass 1: 250/260 chapters (6.5/min, ~1.5min remaining) ---

  *** [1.0251] Revelation 13             C=0.969 | Revelation converged fortunately... Suggestions resonated the level from the med...
  *** [1.0252] Revelation 14             C=0.938 | Perfection connected a revelation... Occurs messaged the previous beyond the hos...
  *** [1.0253] Revelation 15             C=0.906 | Bone completed a revelation... Brightness missed the nevertheless toward the hon...
  *** [1.0254] Revelation 16             C=0.938 | Revelation synchronized differently... Presents perfected the equipment through ...
  *** [1.0255] Revelation 17             C=1.000 | Revelation vibrated a contour; supports nurtured the alternative within the flas...
      [1.0256] Revelation 18             C=0.875 | Revelation radiated commonly... Respond shouted within the sufficient.
      [1.0257] Revelation 19             C=0.875 | Revelation served promptly; brightness nothing the nonetheless.
  *** [1.0258] Revelation 20             C=1.000 | Sovereignty completed a revelation; truck hughed the requirement.
  *** [1.0259] Revelation 21             C=0.969 | Revelation connected completely; consciousness messaged the toward the mama.
  *** [1.0260] Revelation 22             C=0.938 | Bone completed a revelation... Plug presumably centered.

  ------------------------------------------------------------
  PASS 1 COMPLETE in 39.8 minutes
  Coherence: 0.938
  Concepts: 3534
  Truths: 37558
  ------------------------------------------------------------

======================================================================
  COMPLETE: 1 readings of the KJV Bible
  Total time: 0.7 hours
  Total chapters written: 260
  Journal: C:\Users\brayd\.ck\writings\bible_nt_journal.jsonl
======================================================================

  To compare CK's evolution, search the journal for a chapter:
    grep 'Genesis 1"' C:\Users\brayd\.ck\writings\bible_nt_journal.jsonl
  Or use: python -c "
    import json
    for line in open('C:\Users\brayd\.ck\writings\bible_nt_journal.jsonl'):
      e = json.loads(line)
      if e.get('chapter') == 'Genesis 1':
        print(f'Pass {e["pass"]}: {e["ck_text"]}')"
